act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,ReLU,BiGRU+BiGRU,10,87.79,87.77,87.82,87.79,3,6
ReLU,ELU,BiGRU+BiGRU,10,87.28,89.09,84.96,86.98,2,5
ReLU,LeakyReLU,BiGRU+BiGRU,10,87.44,88.53,86.02,87.26,3,6
ReLU,Tanh,BiGRU+BiGRU,10,87.65,89.19,85.68,87.4,3,6
ReLU,GELU,BiGRU+BiGRU,10,87.54,89.45,85.12,87.23,3,6
ReLU,SiLU,BiGRU+BiGRU,10,87.12,89.88,83.66,86.66,3,6
ReLU,Mish,BiGRU+BiGRU,10,87.36,88.82,85.48,87.12,2,5
ReLU,SELU,BiGRU+BiGRU,10,86.92,89.87,83.22,86.42,2,5
ReLU,PReLU,BiGRU+BiGRU,10,87.54,89.77,84.74,87.18,3,6
ReLU,Hardswish,BiGRU+BiGRU,10,87.12,90.44,83.02,86.57,3,6
ELU,ReLU,BiGRU+BiGRU,10,87.3,90.39,83.48,86.8,3,6
ELU,ELU,BiGRU+BiGRU,10,87.36,87.68,86.94,87.31,2,5
ELU,LeakyReLU,BiGRU+BiGRU,10,87.36,88.53,85.84,87.16,2,5
ELU,Tanh,BiGRU+BiGRU,10,87.14,87.93,86.1,87.0,2,5
ELU,GELU,BiGRU+BiGRU,10,87.36,90.5,83.48,86.85,3,6
ELU,SiLU,BiGRU+BiGRU,10,87.22,90.35,83.34,86.7,3,6
ELU,Mish,BiGRU+BiGRU,10,87.46,87.49,87.42,87.45,2,5
ELU,SELU,BiGRU+BiGRU,10,87.24,87.46,86.94,87.2,2,5
ELU,PReLU,BiGRU+BiGRU,10,87.41,87.86,86.82,87.34,2,5
ELU,Hardswish,BiGRU+BiGRU,10,87.27,90.36,83.44,86.76,3,6
LeakyReLU,ReLU,BiGRU+BiGRU,10,87.42,88.77,85.68,87.2,3,6
LeakyReLU,ELU,BiGRU+BiGRU,10,87.12,88.73,85.04,86.85,2,5
LeakyReLU,LeakyReLU,BiGRU+BiGRU,10,87.75,89.71,85.28,87.44,3,6
LeakyReLU,Tanh,BiGRU+BiGRU,10,87.22,88.17,85.98,87.06,2,5
LeakyReLU,GELU,BiGRU+BiGRU,10,87.45,89.28,85.12,87.15,3,6
LeakyReLU,SiLU,BiGRU+BiGRU,10,87.15,89.43,84.26,86.77,3,6
LeakyReLU,Mish,BiGRU+BiGRU,10,87.49,90.81,83.42,86.96,3,6
LeakyReLU,SELU,BiGRU+BiGRU,10,87.66,89.73,85.06,87.33,3,6
LeakyReLU,PReLU,BiGRU+BiGRU,10,87.37,89.38,84.82,87.04,3,6
LeakyReLU,Hardswish,BiGRU+BiGRU,10,87.62,87.56,87.7,87.63,2,5
Tanh,ReLU,BiGRU+BiGRU,10,87.26,90.15,83.66,86.78,3,6
Tanh,ELU,BiGRU+BiGRU,10,87.03,86.38,87.92,87.14,2,5
Tanh,LeakyReLU,BiGRU+BiGRU,10,87.67,89.56,85.28,87.37,3,6
Tanh,Tanh,BiGRU+BiGRU,10,87.19,90.72,82.86,86.61,3,6
Tanh,GELU,BiGRU+BiGRU,10,87.67,87.86,87.42,87.64,4,7
Tanh,SiLU,BiGRU+BiGRU,10,87.3,90.85,82.96,86.72,3,6
Tanh,Mish,BiGRU+BiGRU,10,87.47,87.45,87.5,87.47,2,5
Tanh,SELU,BiGRU+BiGRU,10,87.94,88.7,86.96,87.82,4,7
Tanh,PReLU,BiGRU+BiGRU,10,87.67,89.51,85.34,87.38,3,6
Tanh,Hardswish,BiGRU+BiGRU,10,87.42,87.98,86.68,87.33,2,5
GELU,ReLU,BiGRU+BiGRU,10,87.59,90.17,84.38,87.18,3,6
GELU,ELU,BiGRU+BiGRU,10,87.41,87.96,86.68,87.32,2,5
